City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
134,Kagoro,NG,72.25,clear sky,9.6,8.3833,Palm Garden Hotel
135,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
137,Rawson,AR,77.9,few clouds,-43.3002,-65.1023,Hosteria Sampedro
139,Savannah Bight,HN,82.45,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
140,Doha,QA,73.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
144,Mbuji-Mayi,CD,69.44,overcast clouds,-6.15,23.6,GKT Hotel
145,Kapaa,US,82.72,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
147,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
149,Lagoa,PT,65.16,overcast clouds,39.05,-27.9833,Casa Das Faias
153,Umuarama,BR,73.36,clear sky,-23.7664,-53.325,HOTEL CAIUÁ
155,Dodge City,US,65.64,clear sky,37.7528,-100.0171,Windsor Inn & Suites
157,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
162,Bubaque,GW,83.88,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
167,Biloela,AU,74.16,scattered clouds,-24.4167,150.5,Biloela Silo Motor Inn
169,Dingle,PH,75.43,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
170,Kalmunai,LK,77.97,overcast clouds,7.4167,81.8167,VS Villa
171,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
173,Anyama,CI,81.41,few clouds,5.4946,-4.0518,Hotel la Residence des Hotes
176,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
178,Batemans Bay,AU,65.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
180,Serra,BR,78.26,moderate rain,-20.1286,-40.3078,Interior do Estado do Espirito Santo
181,Bahia Honda,CU,78.26,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
182,Richards Bay,ZA,63.54,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
185,Julio De Castilhos,BR,73.78,clear sky,-29.2269,-53.6817,Bladmir Rigol da Costa ME
186,Berbera,SO,78.55,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
188,Mackay,AU,79.05,scattered clouds,-21.15,149.2,International Lodge Motel
190,Nishihara,JP,70.88,few clouds,26.1842,127.7558,Minshuku Agaihama
193,Chicama,PE,64.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
194,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
195,La Cruz,MX,81.16,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
196,Kaitangata,NZ,63.25,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
198,Nago,JP,73.56,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
203,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
205,Victoria,HK,73.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
206,Port Moresby,PG,80.02,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
207,Calderitas,MX,80.28,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
210,Zurrieq,MT,60.96,few clouds,35.8311,14.4742,Ta'Bertu Guest House
211,Kavaratti,IN,81.55,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
213,Mar Del Plata,AR,60.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
216,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
217,Vila Franca Do Campo,PT,65.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
219,Altagracia De Orituco,VE,77.29,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
220,Gigmoto,PH,78.62,scattered clouds,13.7796,124.39,Cj's Travellers Inn
223,Jaumave,MX,68.05,broken clouds,23.4167,-99.3833,HOTEL CIENEGA
228,Sur,OM,73.67,clear sky,22.5667,59.5289,Sur Plaza Hotel
229,Bandarbeyla,SO,76.86,overcast clouds,9.4942,50.8122,JABIR HOTEL
231,Asfi,MA,63.34,broken clouds,32.2994,-9.2372,Hôtel Abda
234,Vao,NC,72.55,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
237,Finschhafen,PG,81.12,overcast clouds,-6.6024,147.8681,Cossam Guest House
238,Alice Springs,AU,69.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
239,Shenjiamen,CN,61.86,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
240,Coquimbo,CL,60.53,broken clouds,-29.9533,-71.3436,Punto de encuentro
242,Butaritari,KI,82.29,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
243,Amahai,ID,79.43,few clouds,-3.3333,128.9167,HOTEL ISABELA
244,Pontal Do Parana,BR,74.73,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
245,Barranca,PE,66.11,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
246,Lahat,ID,70.9,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
248,Catamarca,AR,79.59,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
250,Galveston,US,68.18,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
252,Auki,SB,82.69,broken clouds,-8.7676,160.7034,Auki Motel
253,Noumea,NC,77.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
257,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
258,Cuamba,MZ,76.62,few clouds,-14.8031,36.5372,Hotel Vision
259,Camacari,BR,80.37,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
260,Atar,MR,77.49,overcast clouds,20.5169,-13.0499,Oumou Elghoura
262,Umm Lajj,SA,75.7,clear sky,25.0213,37.2685,Moon light Furnished Units
263,Santa Isabel,BR,69.66,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
264,Meulaboh,ID,75.7,overcast clouds,4.1363,96.1285,Kost Pria
267,Cidreira,BR,65.1,broken clouds,-30.1811,-50.2056,Hotel Castelo
272,Payakumbuh,ID,69.98,moderate rain,-0.2202,100.6308,OYO 3114 Homestay Dalimo
274,Manaure,CO,84.07,overcast clouds,11.7751,-72.4445,Hotel Palaaima
278,Salinopolis,BR,79.97,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
280,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
286,Bandiagara,ML,81.03,scattered clouds,14.3501,-3.6104,Hotel de la Falaise
287,Grajau,BR,81.95,overcast clouds,-5.8194,-46.1386,Hotel Confiança
289,Binday,PH,74.61,clear sky,16.1271,120.4525,San Fabian Beach Resort
290,Diamantino,BR,71.08,light rain,-14.4086,-56.4461,Hotel Delta
292,Tsabong,BW,71.62,clear sky,-26.0217,22.401,Springbok Motel
293,Necochea,AR,61.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
294,Kudahuvadhoo,MV,82.24,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
299,Boulsa,BF,82.09,clear sky,12.6675,-0.5758,Auberge Relwende
300,Santiago,CL,81.86,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
304,Itupiranga,BR,84.52,light rain,-5.1347,-49.3267,Hotel Panorama
306,Apac,UG,65.32,light rain,1.9756,32.5386,Double Duez Apac
307,Los Llanos De Aridane,ES,60.55,scattered clouds,28.6585,-17.9182,Valle Aridane
308,Saint-Pierre,RE,74.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
310,Kawalu,ID,71.22,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
312,Komatipoort,ZA,67.05,overcast clouds,-25.4332,31.9548,Kruger View Backpackers
313,Boulder City,US,68.72,clear sky,35.9786,-114.8325,Boulder Dam Hotel
314,Atambua,ID,75.88,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
316,Karratha,AU,80.17,light rain,-20.7377,116.8463,ibis Styles Karratha
317,Kuah,MY,77.02,overcast clouds,6.3265,99.8432,Azio Hotel
322,Bonthe,SL,80.78,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
325,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
328,Alyangula,AU,76.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
329,Tucumcari,US,69.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
330,Uchiza,PE,75.06,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
